what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1431696730321
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1431696730322
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1431696730324
os,sysinfo,,,"win32",1431696730331
arch,sysinfo,,,"x86_64",1431696730331
ws,sysinfo,,,"win32",1431696730331
locale,sysinfo,,,"fr_FR",1431696730331
processors,sysinfo,,,"1",1431696730331
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1431696730331
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1431696730331
java.specification.name,sysinfo,,,"Java Platform API Specification",1431696730331
java.specification.vendor,sysinfo,,,"Oracle Corporation",1431696730331
java.specification.version,sysinfo,,,"1.7",1431696730331
java.vendor,sysinfo,,,"Oracle Corporation",1431696730331
java.version,sysinfo,,,"1.7.0_45",1431696730331
java.vm.info,sysinfo,,,"mixed mode",1431696730331
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1431696730331
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1431696730331
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1431696730331
java.vm.specification.version,sysinfo,,,"1.7",1431696730331
java.vm.vendor,sysinfo,,,"Oracle Corporation",1431696730331
java.vm.version,sysinfo,,,"24.45-b08",1431696730331
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1431696730765
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1431696730818
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1431696731013
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1431696731015
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1431696731265
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1431696731914
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1431696731916
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1431696731917
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1431696731919
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1431696731921
